country_code,country,media_type,tmdb_id,title,original_title,original_language,release_date,genre_ids,genres,popularity,vote_average,vote_count,overview,poster_path,only_abroad
KR,대한민국,tv,85077,더 초즌: 부름 받은 자,The Chosen,en,2019-04-21,"10759,10751,18","Action & Adventure, 가족, 드라마",73.4995,8.8,938,가르침과 기적을 행하는 나사렛 예수. 다양한 계층의 사람들이 제자와 추종자를 자청하며 그를 따른다. 하지만 로마 당국은 이런 상황에 불안을 느끼기 시작한다.,/dqVUFuNrMFWt7uGNWlpo91VKYOI.jpg,False
KR,대한민국,tv,259140,란마1/2,らんま1/2,ja,2024-10-06,"16,10759,35","애니메이션, Action & Adventure, 코미디",61.6788,8.12,171,"텐도 아카네 앞에 초면인 약혼남 사오토메 란마가 나타난다. 게다가 천재 무술 소년 란마에겐 대반전의 비밀이 있는데. 바로, 찬물을 뒤집어쓰면 소녀로 변신하는 것.",/yOFvSq8YGKSVvnbCc6IY4PWEssa.jpg,False
KR,대한민국,tv,38693,레고 닌자고,Ninjago: Masters of Spinjitzu,en,2012-01-11,"16,10759,10765,35,10751","애니메이션, Action & Adventure, Sci-Fi & Fantasy, 코미디, 가족",71.3387,7.974,784,"최초의 스핀짓주 마스터로 부터 내려져온, 선과 악의 대결을 종결시킬 그린닌자(로이드)를 지키기 위해, 마스터 우는 불, 번개, 얼음, 흙의 속성을 가진 원소 마스터들을 훈련시키는데....",/wz6ZqlyndVpdRayZi1gbYHWcqFi.jpg,False
KR,대한민국,tv,60572,포켓몬스터,ポケットモンスター,ja,1997-04-01,"16,10759,10765","애니메이션, Action & Adventure, Sci-Fi & Fantasy",69.5568,7.991,2223,"관동지방의 태초마을에 살고 있는 주인공 지우는 오박사로부터 피카츄와 몬스터볼, 포켓몬도감을 받아 포켓몬 마스터를 목표로 여행을 나선다. 회색체육관, 갈색체육관 등에서 격렬한 시합과 여러 곳에서 이루어지는 포켓몬과의 만남.",/vaXQOBNdQVtxUMN96cR4qQRxmoQ.jpg,False
KR,대한민국,tv,46298,헌터x헌터,HUNTER×HUNTER,ja,2011-10-02,"16,10759,10765","애니메이션, Action & Adventure, Sci-Fi & Fantasy",65.948,8.661,2166,"곤프릭스는 보물섬에 사는 어린 소년이다. 곤은 아버지가 죽었다고 알려준 ‘헌터’ 카이트로부터 가르침을 받았지만, 아버지가 어디에선가 생존하여 최고의 헌터로 목숨을 걸고 미지의 아이템, 숨겨진 보물이나 진본을 찾아 다니고 있다고 생각한다. 곤은 전문 헌터가 되기로 결심하고 섬을 떠난다. 헌터가 되기 위해서는 반드시 헌터시험을 통과해야 되는데, 그 와중에 다른 세 명의 지원자 크라피카, 레오리오, 키르아와 친구가 된다. 곤은 이 어려운 관문을 넘어서 세계 최고의 헌터가 될 수 있을까? 그리고 아버지를 만날 수 있을까?",/8YKlXBit3PlVTXf9A1ohccCf9lQ.jpg,False
KR,대한민국,tv,12971,드래곤볼 Z,ドラゴンボールゼット,ja,1989-04-26,"16,10765,10759","애니메이션, Sci-Fi & Fantasy, Action & Adventure",62.6445,8.4,4947,"흥미진진한 드래곤 볼! 계속되는 이야기! 성장한 손오공이 치치와 결혼하여 손오반이라는 아들까지 둔 모습을 보여주고 있다. 어느 날 우주로부터 형 라데츠가 찾아와 지구를 멸망시키려고 하며 손오공에게 동참할 것을 설득한다. 하지만, 자신의 설득이 먹혀들지 않자 조카인 오반을 납치한다. 오공과 피콜로가 합심하여 라데츠를 물리치지만, 오공도 죽어버리는 사태가 발생한다. 지구를 위해, 그리고 우주를 위해 싸우는 Z 용사들!",/70gAmYUfEVOFMuC3gJBIo0MSfbh.jpg,False
KR,대한민국,tv,42009,블랙 미러,Black Mirror,en,2011-12-04,"10765,18,9648","Sci-Fi & Fantasy, 드라마, 미스터리",65.048,8.287,6370,"인간이 지닌 최악의 본성, 최고의 혁신 등을 드러내는 연작 시리즈. 틀을 깨는 기이하고 과감한 이야기들이 펼쳐진다.",/ej7Br2B8dkZZBGa6vDE8HqATgU7.jpg,False
KR,대한민국,tv,212989,레고 닌자고: 드래곤 라이징,LEGO Ninjago: Dragons Rising,en,2023-06-01,"16,10762,10759","애니메이션, Kids, Action & Adventure",65.8931,8.1,108,"서로 다른 세계에서 온 두 십 대. 새로이 얻은, 닌자의 힘을 바탕으로 임무에 나선다. 그건 바로, 드래곤의 생명력을 악용하려는 악당들로부터 드래곤을 지켜내는 것.",/cpKdJHbe6FIKlAbowG2ge8M8PYS.jpg,False
KR,대한민국,tv,313101,무사피르 카페,मुसाफ़िर कैफ़े,hi,2026-07-24,18,드라마,50.7472,7.3,9,"찬데르와 수다는 거부할 수 없는 끌림을 느끼지만, 운명은 두 사람을 갈라놓는다. 스쳐 지나간 사랑은 찬데르를 무사피르 카페로 이끌고, 프리티와의 만남으로 이어진다.",/1SbKjtoRKIpVQG5iYnumnfQIqhd.jpg,False
KR,대한민국,tv,48891,브루클린 나인-나인,Brooklyn Nine-Nine,en,2013-09-17,"35,80","코미디, 범죄",62.662,8.209,4062,"경찰의 명예를 중시하는 원칙주의자 홀트 서장. 그 아래 재능은 물론 꼼수, 공갈, 운까지 총동원해서 어떻게든 사건을 해결해내는 듬직한(?) 형사들이 있는 곳. 브루클린 99 관할 경찰서에 오신 것을 환영합니다!",/mpjlDzVjp7oyHUe2LaF9ltKe6f1.jpg,False
